acc_x,acc_y,acc_z,pitch,roll,yaw,vel,vel_max,latitud,longitud,altura,altura_max,temperatura,estado,flag,timestamp_pc
4.052,-10.756,-12.479,53.5,113.78,241.56,58.4,318.65,41.657818,-0.876113,865.49,1410.61,37.45,1,0,2026-07-01T10:14:04.932
15.999,4.478,6.925,-28.45,-157.69,289.82,69.5,353.15,41.645191,-0.889212,685.72,1385.79,37.63,1,1,2026-07-01T10:14:05.043
7.795,9.078,-15.608,-37.32,-60.7,78.11,110.34,383.35,41.656048,-0.888381,823.04,1322.11,15.41,2,0,2026-07-01T10:14:05.153
5.739,-15.809,4.18,66.51,58.35,154.51,115.55,406.79,41.657761,-0.884065,51.1,1386.45,30.03,4,1,2026-07-01T10:14:05.264
-5.976,-15.846,-11.078,-45.99,-118.57,113.26,27.55,373.98,41.650215,-0.875421,98.69,1241.99,21.1,3,0,2026-07-01T10:14:05.375
2.106,-1.438,-10.514,13.2,-163.39,166.89,43.59,423.06,41.659512,-0.895063,479.96,1303.48,23.2,1,1,2026-07-01T10:14:05.486
3.609,-5.695,-2.514,67.38,70.44,95.92,34.97,410.82,41.645729,-0.891444,600.38,1408.77,32.08,0,0,2026-07-01T10:14:05.598
-0.601,-19.402,-3.673,34.29,131.31,299.44,3.73,433.11,41.650379,-0.899873,1165.17,1272.44,25.38,4,0,2026-07-01T10:14:05.709
3.36,-17.582,-6.791,-59.95,-128.89,222.32,202.31,415.78,41.655941,-0.881001,552.24,1358.17,23.95,0,1,2026-07-01T10:14:05.821
-19.624,-6.544,5.399,-86.17,174.64,87.48,175.57,382.51,41.641247,-0.878396,748.05,1265.56,33.47,2,1,2026-07-01T10:14:05.936
-4.233,18.739,14.877,-37.86,54.5,204.4,162.12,386.11,41.648289,-0.893928,338.04,1478.93,16.86,3,1,2026-07-01T10:14:06.043
11.468,-6.288,-4.84,-70.79,51.77,240.72,101.19,381.39,41.644699,-0.873854,644.58,1494.19,39.1,3,0,2026-07-01T10:14:06.153
-2.206,12.774,-12.101,-6.37,-138.51,52.82,254.09,342.72,41.640228,-0.881414,284.28,1454.4,40.96,2,1,2026-07-01T10:14:06.264
-9.939,-1.786,-14.698,53.72,-78.84,176.7,161.49,335.24,41.649284,-0.894279,862.86,1200.19,31.04,2,0,2026-07-01T10:14:06.375
-9.57,-16.319,19.629,82.3,28.58,131.41,199.97,326.62,41.650784,-0.891407,845.55,1425.6,29.86,1,0,2026-07-01T10:14:06.488
9.84,10.794,16.505,-33.93,172.77,35.74,140.06,434.44,41.644142,-0.894266,859.42,1398.83,37.48,4,1,2026-07-01T10:14:06.596
11.492,-6.413,-0.209,-14.94,-128.32,13.02,10.59,350.26,41.654385,-0.89295,905.24,1329.93,43.53,1,0,2026-07-01T10:14:06.708
-0.251,14.11,2.324,18.14,14.26,297.71,245.32,327.67,41.647057,-0.879705,1151.65,1489.79,24.82,4,0,2026-07-01T10:14:06.816
-9.34,12.616,-11.18,-12.21,142.32,38.95,14.1,420.77,41.652649,-0.890385,952.53,1275.23,32.17,0,1,2026-07-01T10:14:06.926
14.394,18.178,-10.533,-7.75,-140.28,192.53,24.07,423.4,41.650478,-0.874222,573.52,1339.1,15.23,3,0,2026-07-01T10:14:07.037
-1.37,-14.352,-6.304,31.21,-178.98,190.91,137.25,337.56,41.648857,-0.876013,714.95,1379.55,33.61,4,1,2026-07-01T10:14:07.147
11.422,15.675,5.473,6.04,-79.56,270.07,50.11,376.65,41.658325,-0.870259,368.09,1406.55,36.25,2,1,2026-07-01T10:14:07.258
-2.477,-17.396,-2.229,1.43,-9.08,336.32,218.25,380.12,41.659428,-0.877149,972.72,1386.01,36.73,4,1,2026-07-01T10:14:07.368
13.771,-9.478,14.116,-49.48,-32.01,215.25,259.08,403.8,41.653427,-0.884649,897.36,1364.21,44.19,3,0,2026-07-01T10:14:07.478
19.666,15.295,-12.682,-89.85,96.08,22.23,75.53,431.75,41.655167,-0.872085,635.75,1430.69,36.34,4,1,2026-07-01T10:14:07.589
-16.095,-16.69,-5.918,4.89,-51.25,274.11,92.56,357.94,41.643501,-0.887882,1046.02,1369.29,43.81,2,0,2026-07-01T10:14:07.700
-1.649,-11.761,-11.552,60.99,-113.25,47.61,25.61,357.57,41.642376,-0.896535,184.99,1283.79,32.09,2,0,2026-07-01T10:14:07.827
1.532,11.191,-19.759,-76.31,-39.02,290.55,153.1,370.33,41.646927,-0.899743,323.86,1428.5,44.11,1,1,2026-07-01T10:14:07.953
8.526,0.245,4.003,-40.98,-168.84,355.19,2.46,414.64,41.645435,-0.890689,70.59,1388.86,18.64,4,1,2026-07-01T10:14:08.065
-11.025,-19.04,-7.985,77.33,67.81,321.89,208.01,408.52,41.645306,-0.876371,1073.67,1492.15,25.65,3,0,2026-07-01T10:14:08.176
19.263,10.711,19.909,-72.86,-32.1,301.48,81.63,433.68,41.65443,-0.885294,917.46,1446.68,37.84,2,0,2026-07-01T10:14:08.303
8.306,16.706,-5.875,-49.33,65.85,59.83,287.36,445.06,41.64753,-0.878352,914.61,1231.51,25.96,2,1,2026-07-01T10:14:08.414
-10.981,-12.292,5.389,-85.71,-58.45,17.86,197.19,373.35,41.652603,-0.896612,313.54,1369.19,34.93,0,1,2026-07-01T10:14:08.541
-13.009,1.284,19.277,50.72,-69.63,299.85,43.97,402.1,41.643303,-0.895953,725.57,1460.96,33.77,2,0,2026-07-01T10:14:08.651
-8.195,9.65,6.912,41.69,50.2,316.54,277.29,338.65,41.654343,-0.898493,56.68,1496.03,15.41,1,1,2026-07-01T10:14:08.763
-0.708,-17.211,5.089,-58.24,-42.12,132.24,95.83,372.83,41.644176,-0.896448,428.98,1261.57,32.2,4,1,2026-07-01T10:14:08.879
-17.09,12.862,-4.316,0.71,-27.1,81.8,16.66,399.14,41.659634,-0.894262,497.29,1498.06,24.53,4,1,2026-07-01T10:14:08.987
-18.634,13.616,-3.397,56.49,120.88,41.73,134.36,348.29,41.646404,-0.890601,147.86,1391.73,15.47,3,0,2026-07-01T10:14:09.115
6.275,4.608,7.522,-12.2,-72.29,252.47,291.19,309.69,41.646942,-0.893974,174.92,1300.53,25.45,2,1,2026-07-01T10:14:09.227
14.503,-8.776,18.527,-7.29,-178.49,154.79,65.65,323.63,41.649929,-0.898015,922.07,1284.76,17.24,0,1,2026-07-01T10:14:09.340
4.712,5.282,-5.332,2.14,18.7,58.78,165.21,325.8,41.649071,-0.876506,508.31,1317.96,19.05,3,0,2026-07-01T10:14:09.453
0.134,-18.314,7.985,32.02,78.46,52.55,158.76,429.83,41.659863,-0.884422,1109.7,1290.55,34.18,3,0,2026-07-01T10:14:09.565
5.042,10.241,2.54,-42.63,-171.42,288.55,91.56,399.99,41.659027,-0.870147,557.36,1482.89,38.03,1,0,2026-07-01T10:14:09.678
-8.026,11.622,7.62,76.84,52.73,299.6,31.48,302.22,41.655476,-0.878534,267.06,1473.78,27.14,1,0,2026-07-01T10:14:09.806
-1.528,-6.134,8.787,-44.48,-119.1,114.59,131.44,401.52,41.65028,-0.883494,961.41,1317.0,24.97,2,0,2026-07-01T10:14:09.919
-10.755,19.943,-17.76,47.14,-95.91,198.18,152.45,399.66,41.647301,-0.889968,845.57,1340.79,43.64,3,1,2026-07-01T10:14:10.032
-2.2,-11.171,7.092,-2.27,153.55,104.52,274.35,337.66,41.650505,-0.89261,158.55,1479.47,41.62,1,1,2026-07-01T10:14:10.145
10.593,6.561,-6.093,81.34,-178.84,192.91,48.33,409.2,41.640434,-0.883922,771.43,1494.19,23.69,0,0,2026-07-01T10:14:10.260
3.192,-1.632,-16.756,60.46,70.95,286.09,219.6,375.53,41.65694,-0.875086,726.71,1381.38,40.88,0,1,2026-07-01T10:14:10.368
-2.997,-19.551,13.283,65.04,1.28,302.89,36.51,340.37,41.641438,-0.899614,1164.86,1437.22,29.57,2,0,2026-07-01T10:14:10.496
-5.981,8.73,4.503,29.57,131.72,321.3,32.73,370.25,41.643612,-0.899292,970.86,1485.39,17.43,4,0,2026-07-01T10:14:10.609
19.253,-9.277,-7.876,57.83,-172.19,41.36,192.38,336.3,41.641804,-0.899201,1115.29,1443.37,27.63,4,1,2026-07-01T10:14:10.721
-3.655,2.228,4.048,-24.05,-161.77,237.69,288.1,425.48,41.650368,-0.889753,578.34,1206.43,29.2,4,1,2026-07-01T10:14:10.848
-5.921,18.431,-11.068,13.8,-142.07,18.31,63.46,357.31,41.653652,-0.892437,149.62,1346.81,33.07,2,0,2026-07-01T10:14:10.960
-18.566,10.117,14.557,56.96,43.71,174.44,230.22,324.36,41.650764,-0.878055,127.71,1274.33,26.78,1,0,2026-07-01T10:14:11.073
13.717,0.296,-3.216,33.71,158.18,298.44,227.6,389.78,41.648045,-0.899961,45.96,1298.12,39.07,4,1,2026-07-01T10:14:11.185
13.155,-9.522,18.329,-48.83,-81.57,104.3,175.12,383.9,41.647182,-0.892274,1097.8,1368.27,29.94,1,1,2026-07-01T10:14:11.297
-0.962,-4.699,17.584,45.58,60.39,98.86,245.21,379.7,41.657131,-0.872232,683.65,1373.49,20.82,0,1,2026-07-01T10:14:11.425
-10.618,-12.038,-1.753,25.91,157.83,170.89,1.14,389.76,41.645489,-0.87685,102.32,1343.79,26.32,4,1,2026-07-01T10:14:11.538
8.74,1.777,-12.217,-12.84,67.86,55.49,266.01,332.65,41.646767,-0.882576,1178.7,1323.98,29.28,1,1,2026-07-01T10:14:11.666
-6.985,14.362,1.369,83.44,-75.59,116.97,3.98,318.89,41.655102,-0.872557,377.0,1437.2,25.26,4,1,2026-07-01T10:14:11.778
-4.869,9.691,18.433,29.2,-99.84,358.15,281.95,380.39,41.650154,-0.883094,1081.86,1295.55,41.12,4,1,2026-07-01T10:14:11.890
3.873,2.114,1.207,38.79,-104.04,224.36,21.79,363.97,41.653446,-0.897091,114.74,1250.81,40.75,0,1,2026-07-01T10:14:12.003
2.169,-14.599,-11.457,-33.92,70.69,6.04,129.02,334.72,41.643009,-0.883152,1130.42,1264.54,20.62,1,1,2026-07-01T10:14:12.115
-3.688,-16.924,-18.821,-38.62,10.94,220.98,269.22,449.35,41.646053,-0.883927,1179.51,1457.4,43.62,4,1,2026-07-01T10:14:12.227
-11.619,-16.585,14.62,73.28,-124.22,152.87,107.89,432.96,41.658398,-0.87109,660.14,1461.62,36.78,1,0,2026-07-01T10:14:12.338
2.866,2.128,15.8,65.57,-134.77,88.4,222.13,370.52,41.649551,-0.88596,868.93,1233.64,43.05,1,1,2026-07-01T10:14:12.451
15.131,3.878,-15.938,48.34,83.84,72.83,221.36,445.81,41.655903,-0.880154,141.94,1425.29,42.29,2,1,2026-07-01T10:14:12.578
18.748,-17.813,1.673,66.68,-60.61,144.44,89.21,344.15,41.648304,-0.878836,637.24,1333.12,36.56,2,1,2026-07-01T10:14:12.690
-7.33,19.832,15.333,-17.62,143.97,269.56,194.16,423.01,41.643032,-0.873453,899.84,1374.24,28.25,0,1,2026-07-01T10:14:12.803
1.436,-15.335,-2.748,-44.01,146.05,98.99,200.29,324.89,41.640156,-0.89229,166.84,1303.34,31.24,0,1,2026-07-01T10:14:12.931
-19.11,3.908,-16.074,29.54,-78.41,127.3,134.53,306.59,41.657753,-0.883929,782.96,1476.18,26.69,4,0,2026-07-01T10:14:13.059
17.393,0.191,16.322,-11.92,-147.58,344.42,16.23,440.04,41.640747,-0.898251,301.92,1420.12,23.62,3,0,2026-07-01T10:14:13.171
1.921,-7.254,16.477,-64.92,-92.88,155.1,120.25,327.87,41.65868,-0.879845,168.41,1368.64,27.79,2,0,2026-07-01T10:14:13.283
2.513,0.013,-17.932,31.44,-155.06,130.4,153.53,350.76,41.656921,-0.890582,626.71,1469.4,21.91,2,0,2026-07-01T10:14:13.410
8.811,7.249,11.725,0.75,-17.84,183.6,235.5,367.56,41.64727,-0.892579,1158.72,1498.16,36.67,3,1,2026-07-01T10:14:13.522
12.537,11.789,8.154,65.98,-153.86,336.27,66.25,326.43,41.643806,-0.874761,594.58,1368.61,43.39,2,0,2026-07-01T10:14:13.651
14.992,5.143,-10.414,28.52,124.64,213.41,280.32,386.27,41.648682,-0.870153,21.06,1302.36,33.74,2,0,2026-07-01T10:14:13.762
4.854,12.375,10.099,-59.55,-21.01,55.69,152.57,346.98,41.649406,-0.882619,1173.17,1419.81,39.54,2,0,2026-07-01T10:14:13.875
10.0,8.037,12.368,-56.83,76.14,267.51,259.42,363.68,41.654186,-0.884728,1050.12,1443.66,26.33,3,0,2026-07-01T10:14:13.986
-9.003,19.535,-7.309,74.08,-89.53,343.16,149.31,381.65,41.653316,-0.873217,878.69,1337.2,22.04,0,0,2026-07-01T10:14:14.097
7.01,-8.794,17.385,69.45,117.26,153.79,71.21,426.47,41.640728,-0.879577,348.45,1451.16,27.46,1,1,2026-07-01T10:14:14.209
8.077,-15.459,10.095,-55.16,-162.74,284.38,101.33,319.0,41.652966,-0.892907,142.55,1393.49,22.53,2,1,2026-07-01T10:14:14.320
-0.198,12.2,-11.39,-28.09,-74.02,282.72,248.74,378.15,41.643105,-0.874589,975.82,1223.76,30.96,0,0,2026-07-01T10:14:14.432
18.785,6.47,13.169,63.05,-168.95,156.75,44.97,443.6,41.648186,-0.883843,719.54,1254.97,40.75,3,1,2026-07-01T10:14:14.544
-17.339,9.091,-12.129,-0.1,128.58,228.39,110.37,446.66,41.641815,-0.885322,1080.64,1454.69,15.86,2,0,2026-07-01T10:14:14.677
-8.842,-13.611,-18.662,25.68,-14.86,357.35,299.58,419.64,41.659058,-0.872811,118.65,1204.81,23.49,1,1,2026-07-01T10:14:14.785
12.116,-15.534,16.172,32.97,35.39,56.69,204.85,389.02,41.64341,-0.898089,1007.14,1203.23,31.96,0,1,2026-07-01T10:14:14.912
3.73,19.355,13.869,41.77,-39.95,29.81,288.76,388.83,41.649754,-0.883115,847.0,1202.09,41.72,0,0,2026-07-01T10:14:15.025
-4.846,-5.382,-6.7,60.43,-144.09,339.04,8.2,352.66,41.655128,-0.894318,312.19,1420.48,30.67,4,1,2026-07-01T10:14:15.156
2.973,-19.186,6.677,8.85,44.22,306.67,55.83,313.1,41.659897,-0.879281,509.87,1227.84,24.81,3,0,2026-07-01T10:14:15.264
-18.127,-8.037,-0.699,53.8,59.87,10.98,199.34,352.9,41.653137,-0.878506,212.83,1420.96,16.34,4,1,2026-07-01T10:14:15.376
-8.045,-19.503,-10.997,23.99,-96.67,237.36,149.5,362.65,41.645535,-0.896671,956.78,1301.9,16.75,4,1,2026-07-01T10:14:15.488
-0.874,0.544,0.112,46.66,76.57,190.04,38.15,342.26,41.642189,-0.881723,133.25,1200.0,25.08,1,0,2026-07-01T10:14:15.598
-15.806,9.528,11.958,-38.58,-91.08,155.73,261.74,411.27,41.656036,-0.889222,1086.67,1440.05,38.79,1,0,2026-07-01T10:14:15.710
-9.871,-11.945,4.734,87.14,165.59,110.66,36.38,372.69,41.657639,-0.888255,52.14,1378.14,33.99,4,1,2026-07-01T10:14:15.822
3.082,9.357,-8.646,21.85,-95.51,161.37,116.13,389.18,41.643593,-0.890385,1072.32,1376.05,17.58,2,0,2026-07-01T10:14:15.934
2.87,18.319,0.484,-47.05,-53.51,23.01,255.79,352.94,41.640728,-0.876123,240.2,1346.24,19.4,1,0,2026-07-01T10:14:16.044
-0.678,-13.369,8.651,66.85,144.07,67.01,129.95,354.38,41.650661,-0.889748,998.08,1251.34,35.98,3,1,2026-07-01T10:14:16.156
-6.122,-13.164,11.602,79.1,-144.88,85.0,121.07,334.98,41.64069,-0.873444,387.55,1326.11,16.29,3,1,2026-07-01T10:14:16.268
-14.323,-17.975,-4.191,-84.12,-74.72,128.67,59.89,388.86,41.659603,-0.89449,1186.66,1234.42,40.05,0,1,2026-07-01T10:14:16.396
5.5,8.923,-13.374,58.86,-94.44,233.49,167.13,308.29,41.64333,-0.891118,179.32,1348.13,15.19,3,1,2026-07-01T10:14:16.507
6.802,-18.825,-4.67,31.54,-165.96,76.51,214.37,324.89,41.65601,-0.885945,448.4,1291.65,27.78,2,0,2026-07-01T10:14:16.618
1.098,7.847,-1.109,59.47,114.4,91.04,182.15,390.37,41.652218,-0.874311,1187.35,1497.23,19.44,3,0,2026-07-01T10:14:16.731
-7.861,12.86,3.492,36.33,-80.71,11.51,240.37,407.13,41.64027,-0.878154,855.17,1218.88,29.23,0,0,2026-07-01T10:14:16.843
5.421,-4.144,0.48,-9.21,-68.69,215.04,163.07,380.36,41.642948,-0.899462,777.33,1386.65,37.23,2,1,2026-07-01T10:14:16.971
19.069,4.204,18.183,-35.08,124.45,302.96,23.98,312.34,41.641541,-0.89161,634.19,1226.98,36.04,0,1,2026-07-01T10:14:17.099
4.103,2.488,2.946,49.31,-142.63,75.21,122.95,301.26,41.654747,-0.872462,415.04,1233.68,33.3,1,1,2026-07-01T10:14:17.211
1.013,-19.938,-18.43,72.85,179.83,282.88,9.66,368.47,41.645267,-0.889612,114.02,1441.56,39.07,3,0,2026-07-01T10:14:17.323
6.414,-0.94,8.856,12.17,-142.56,201.59,141.21,391.44,41.640102,-0.891704,954.35,1211.54,21.3,2,1,2026-07-01T10:14:17.435
7.033,-1.56,-1.583,21.51,-147.62,314.61,157.37,311.48,41.64703,-0.888504,417.23,1449.09,17.11,2,1,2026-07-01T10:14:17.564
-5.844,5.856,-9.781,-54.53,70.26,160.05,280.66,343.01,41.645824,-0.886098,962.76,1278.82,33.4,0,1,2026-07-01T10:14:17.675
3.564,-5.21,8.591,67.16,-97.21,125.08,112.96,381.1,41.646313,-0.892289,877.07,1355.12,22.83,3,0,2026-07-01T10:14:17.786
6.581,-0.37,-7.072,25.57,-12.67,201.9,236.5,349.62,41.646061,-0.879512,166.7,1304.89,35.07,2,0,2026-07-01T10:14:17.898
-15.576,-15.468,-6.97,-25.65,177.26,138.82,41.83,377.46,41.650642,-0.875918,175.59,1213.65,22.41,2,1,2026-07-01T10:14:18.026
2.82,18.74,-9.577,-3.68,27.1,239.08,119.23,445.1,41.648655,-0.880851,712.39,1226.98,34.41,4,0,2026-07-01T10:14:18.137
17.363,-0.056,2.791,34.79,29.98,182.46,136.07,305.18,41.642971,-0.895322,956.6,1230.52,35.15,1,0,2026-07-01T10:14:18.250
3.206,-14.86,15.953,-57.17,-167.38,275.17,109.44,306.93,41.652218,-0.896784,287.43,1402.58,17.1,4,0,2026-07-01T10:14:18.362
-10.189,-9.026,-8.75,-34.68,-175.15,271.94,213.09,423.83,41.641144,-0.870077,5.57,1247.63,29.84,3,0,2026-07-01T10:14:18.490
-0.738,11.389,18.526,34.22,12.08,46.88,111.5,397.26,41.640583,-0.890566,363.12,1246.55,21.34,2,0,2026-07-01T10:14:18.602
-18.641,-3.69,15.074,16.17,-76.93,208.3,103.94,341.36,41.658958,-0.890228,253.66,1260.18,41.13,3,0,2026-07-01T10:14:18.714
9.289,19.762,-10.842,12.24,-179.47,286.59,149.8,330.4,41.659531,-0.894039,287.07,1499.98,29.2,2,0,2026-07-01T10:14:18.826
1.463,-16.517,11.13,-81.29,-129.49,93.18,72.19,314.67,41.642387,-0.87841,549.47,1452.99,37.3,1,1,2026-07-01T10:14:18.937
-10.323,0.675,15.665,-76.95,5.27,200.86,186.73,419.36,41.653297,-0.88751,21.88,1237.42,36.61,4,0,2026-07-01T10:14:19.049
1.066,3.264,-11.872,50.73,-29.7,152.76,113.82,338.73,41.650417,-0.886173,634.37,1465.75,17.66,2,1,2026-07-01T10:14:19.160
3.521,-3.205,-9.526,-72.7,29.99,45.2,177.19,395.71,41.654545,-0.879141,231.05,1372.89,42.43,1,1,2026-07-01T10:14:19.271
19.342,-16.941,-9.565,-26.14,42.15,43.08,179.33,324.96,41.644524,-0.872202,855.44,1334.06,34.8,3,1,2026-07-01T10:14:19.399
12.128,-0.313,11.89,63.56,-121.71,204.39,152.46,314.28,41.644688,-0.889075,1009.92,1457.99,17.47,0,0,2026-07-01T10:14:19.512
14.714,-2.415,9.843,-63.72,-135.11,101.15,290.54,361.12,41.657505,-0.889975,214.2,1274.47,42.93,4,1,2026-07-01T10:14:19.625
-12.638,-3.936,-17.256,31.29,48.18,188.32,119.45,407.26,41.643265,-0.883627,778.36,1340.38,41.83,3,1,2026-07-01T10:14:19.737
2.403,-12.752,8.283,-58.19,115.81,99.35,296.43,446.67,41.641327,-0.882308,1188.5,1351.31,28.4,1,0,2026-07-01T10:14:19.849
14.172,7.719,14.44,56.2,-154.6,46.5,293.48,358.21,41.653625,-0.88024,141.99,1403.2,19.12,4,0,2026-07-01T10:14:19.959
11.522,6.341,-1.302,55.47,-91.35,23.05,212.26,360.24,41.645107,-0.886115,1142.17,1289.31,44.37,0,1,2026-07-01T10:14:20.071
17.186,2.322,7.872,-32.54,-57.8,80.69,268.13,350.92,41.64323,-0.886482,959.54,1402.2,15.41,0,0,2026-07-01T10:14:20.182
-18.705,-5.401,19.355,-68.13,71.06,223.47,40.71,432.88,41.642841,-0.899775,804.24,1204.58,34.53,3,1,2026-07-01T10:14:20.294
-1.756,-5.646,6.499,10.49,-54.54,268.89,242.19,414.41,41.646954,-0.89128,335.77,1415.53,21.26,0,1,2026-07-01T10:14:20.406
3.96,-15.571,7.655,78.93,30.32,317.04,220.96,317.3,41.647766,-0.884776,466.14,1256.71,21.92,3,1,2026-07-01T10:14:20.517
14.985,-18.397,0.345,68.17,41.27,163.84,33.49,343.97,41.659859,-0.886673,448.58,1323.73,33.44,0,1,2026-07-01T10:14:20.644
18.072,14.077,-1.104,52.4,93.33,238.01,227.69,428.49,41.658195,-0.899441,1026.99,1230.3,30.17,4,1,2026-07-01T10:14:20.756
17.75,15.231,19.888,-67.57,6.45,65.89,198.12,323.22,41.658302,-0.889686,896.84,1349.96,32.56,2,0,2026-07-01T10:14:20.873
12.597,8.702,6.227,61.26,-82.63,103.78,61.35,361.71,41.644783,-0.890056,1198.45,1211.16,33.72,3,0,2026-07-01T10:14:20.979
1.724,19.606,-12.437,11.41,-148.57,2.17,24.54,411.1,41.654129,-0.89289,58.63,1295.44,32.22,0,1,2026-07-01T10:14:21.106
-12.84,4.943,-12.938,-62.74,22.33,56.92,87.27,340.95,41.650284,-0.883638,648.26,1440.23,44.58,2,1,2026-07-01T10:14:21.218
-16.323,-16.173,-13.455,24.53,-164.16,358.69,171.9,345.58,41.6483,-0.894951,867.35,1240.22,24.12,4,1,2026-07-01T10:14:21.330
-14.978,-4.852,-11.843,48.78,-104.77,277.1,298.64,349.75,41.64423,-0.884241,801.84,1486.68,22.18,4,1,2026-07-01T10:14:21.441
-1.203,13.42,18.628,77.78,-44.77,7.0,298.61,391.84,41.652313,-0.893563,917.29,1408.21,35.1,4,1,2026-07-01T10:14:21.554
-2.751,-15.071,-9.331,-23.79,-52.44,164.22,137.46,408.89,41.651642,-0.888018,307.08,1262.17,34.96,2,1,2026-07-01T10:14:21.667
-9.123,-6.909,16.993,-49.09,-75.01,224.33,263.25,364.94,41.64872,-0.880856,468.62,1490.85,20.65,1,1,2026-07-01T10:14:21.779
4.509,-19.362,8.219,-35.48,81.0,238.22,177.86,376.28,41.65136,-0.889701,193.37,1216.56,25.14,0,0,2026-07-01T10:14:21.892
-5.469,-4.725,15.542,-3.27,-23.46,216.38,150.03,377.64,41.653511,-0.896906,592.7,1409.53,18.28,4,0,2026-07-01T10:14:22.020
2.556,-7.21,-0.518,-22.8,-29.85,297.04,191.38,305.16,41.656128,-0.892519,1178.46,1235.93,40.46,2,1,2026-07-01T10:14:22.131
9.281,1.355,-0.171,-20.17,-167.37,266.98,235.05,377.23,41.65519,-0.895144,897.93,1339.58,44.31,3,1,2026-07-01T10:14:22.244
8.229,-12.002,1.262,18.03,-89.5,272.15,115.4,398.01,41.648273,-0.886316,1115.98,1460.34,24.53,3,1,2026-07-01T10:14:22.373
